stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ESTACION_12001,12001,Carrera 43,4.6228702763171148,-74.101540400103815,1,,0
ESTACION_4106,4106,Carrera 47,4.6779630789003255,-74.073652872573689,1,,0
ESTACION_4105,4105,Carrera 53,4.6817655856738387,-74.077421033865974,1,,0
ESTACION_4002,4002,Carrera 90,4.704669206037873,-74.1046781101301,1,,0
ESTACION_10007,10007,Las Nieves,4.6058410745602183,-74.074480713255284,1,,0
ESTACION_7505,7505,León XIII,4.5921995073944366,-74.19315680176642,1,,0
ESTACION_6002,6002,Normandía,4.6688158584079362,-74.113169878157777,1,,0
ESTACION_7110,7110,Paloquemao,4.6167525708161756,-74.08971206077544,1,,0
ESTACION_3003,3003,21 ángeles,4.7355704168478825,-74.081146751834254,1,,0
ESTACION_12002,12002,CDS  Cra 32,4.6160951273501327,-74.093961745196737,1,,0
ESTACION_10001,10001,Country Sur,4.571074260536097,-74.098759340905929,1,,0
ESTACION_3001,3001,La Campiña,4.7426259816963645,-74.091219748474643,1,,0
ESTACION_7506,7506,La Despensa,4.59458033119623,-74.18821232416353,1,,0
ESTACION_2204,2204,Pepe Sierra,4.6979938584982754,-74.055346985780758,1,,0
ESTACION_3000,3000,Portal Suba,4.7469927324058849,-74.094252542221227,1,,0
ESTACION_90004,90004,Portal Usme,4.5318440998056229,-74.119447940600068,1,,0
ESTACION_3010,3010,Puentelargo,4.6935310412950324,-74.067196034300821,1,,0
ESTACION_3014,3014,San Martín,4.676406715110855,-74.067175079223318,1,,0
ESTACION_7107,7107,U. Nacional,4.637090954814612,-74.079320101814574,1,,0
ESTACION_10002,10002,AV. 1° Mayo,4.5766694230375862,-74.093898685910645,1,,0
ESTACION_4003,4003,Avenida Cali,4.70240676796969,-74.100252040386309,1,,0
ESTACION_10005,10005,Bicentenario,4.5931389996306482,-74.082471425690258,1,,0
ESTACION_9100,9100,Calle 40 Sur,4.5757961196654495,-74.120058902063363,1,,0
ESTACION_14001,14001,De La Sabana,4.60532908945432,-74.081837758246962,1,,0
ESTACION_6104,6104,Gobernación,4.6425056540424272,-74.09634256714142,1,,0
ESTACION_5001,5001,Patio Bonito,4.6332236800401212,-74.164722329074976,1,,0
ESTACION_8000,8000,Portal Tunal,4.57091172442298,-74.139574904262318,1,,0
