route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
T_2061,2,Portal 0 de julio,TRONCAL,1,000000,FFFFFF,3
T_2110,2-1,Mirandela,ALIMENTADOR,4,196939,FFFFFF,3
T_426,2-10,Verbenal,ALIMENTADOR,4,196939,FFFFFF,3
T_1158,2-11,Andalucia,ALIMENTADOR,4,196939,FFFFFF,3
T_417,2-2,Jardines,ALIMENTADOR,4,196939,FFFFFF,3
T_1535,2-3,San antonio,ALIMENTADOR,4,196939,FFFFFF,3
T_1262,2-4,El codito,ALIMENTADOR,4,196939,FFFFFF,3
T_420,2-5,San cristobal,ALIMENTADOR,4,196939,FFFFFF,3
T_1394,2-7,San jose,ALIMENTADOR,4,196939,FFFFFF,3
T_428,2-8,Expreso 170 oriental,ALIMENTADOR,4,196939,FFFFFF,3
Z_4848,201A,Estadio techo,URBANO,3,00618E,FFFFFF,3
Z_4848-2,201A,Fiscala,URBANO,3,00618E,FFFFFF,3
Z_6393,201B,Suba,URBANO,3,00618E,FFFFFF,3
Z_6393-2,201B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_6893,202,Corferias - recinto ferial,URBANO,3,00618E,FFFFFF,3
Z_6737,228,Aguas claras,URBANO,3,00618E,FFFFFF,3
Z_6735,228,Villa teresita,URBANO,3,00618E,FFFFFF,3
Z_6834,256,Tihuaque - est. comuneros,URBANO,3,00618E,FFFFFF,3
Z_6261,257,Puente grande,URBANO,3,00618E,FFFFFF,3
Z_6261-2,257,Germania,URBANO,3,00618E,FFFFFF,3
Z_6826,260,Arabia - unicentro,URBANO,3,00618E,FFFFFF,3
Z_6091,271,Lomas,URBANO,3,00618E,FFFFFF,3
Z_6091-2,271,Gran granada,URBANO,3,00618E,FFFFFF,3
Z_6030,291,Tierra buena,URBANO,3,00618E,FFFFFF,3
Z_6031,291,Terminal norte,URBANO,3,00618E,FFFFFF,3
T_2106,3,Concejo de bogota,TRONCAL,1,000000,FFFFFF,3
T_2107,3,Portal usme,TRONCAL,1,000000,FFFFFF,3
Z_6063,3-10,Usme centro,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6114,3-11,La fiscala,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6417,3-12,La esperanza sur el bosque,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6115,3-13,Nebraska,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6375,3-14,El uval pico,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6374,3-14,El uval,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5004,3-2,Santa librada,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6419,3-3,Chuniza,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6372,3-4,Alfonso lopez,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6356,3-5,Usminia,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5042,3-6,Danubio,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6358,3-8,Virrey,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5054,3-9,Marichuela,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6048,320,Santa cecilia,URBANO,3,00618E,FFFFFF,3
Z_6048-2,320,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_5829,330,La estrellita,URBANO,3,00618E,FFFFFF,3
Z_5828,330,El uval,URBANO,3,00618E,FFFFFF,3
Z_5830,330,La estrellita reversible,URBANO,3,00618E,FFFFFF,3
Z_6281,344,Tibabuyes,URBANO,3,00618E,FFFFFF,3
Z_6281-2,344,Canton norte,URBANO,3,00618E,FFFFFF,3
Z_6596,359,Centro,URBANO,3,00618E,FFFFFF,3
Z_6596-2,359,El encanto,URBANO,3,00618E,FFFFFF,3
Z_5954,367,Porciuncula,URBANO,3,00618E,FFFFFF,3
Z_7011,367,San bernardino,URBANO,3,00618E,FFFFFF,3
Z_7011-2,367,San bernardino - porciuncula,URBANO,3,00618E,FFFFFF,3
Z_6481,37,Engativa,URBANO,3,00618E,FFFFFF,3
Z_6481-2,37,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_6412,385,Bachue,URBANO,3,00618E,FFFFFF,3
Z_6412-2,385,Germania,URBANO,3,00618E,FFFFFF,3
Z_4828,39,Patio bonito,URBANO,3,00618E,FFFFFF,3
Z_4827,39,Diana turbay,URBANO,3,00618E,FFFFFF,3
T_2127,4,Heroes,TRONCAL,1,000000,FFFFFF,3
T_2069,4,Portal sur,TRONCAL,1,000000,FFFFFF,3
Z_5072,4-1,Bochica,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6899,4-2,Diana turbay,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5324,4-3,Molinos,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_4788,402,Engativa,URBANO,3,00618E,FFFFFF,3
Z_4788-2,402,Mirandela,URBANO,3,00618E,FFFFFF,3
Z_5358,403A,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5358-2,403A,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_6476,403B,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_6476-2,403B,Sabanas del dorado,URBANO,3,00618E,FFFFFF,3
Z_6071,421,Porciuncula,URBANO,3,00618E,FFFFFF,3
Z_6071-2,421,Colina,URBANO,3,00618E,FFFFFF,3
Z_5882,442,Verbenal,URBANO,3,00618E,FFFFFF,3
Z_5882-2,442,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5883,442,Verbenal reversible,URBANO,3,00618E,FFFFFF,3
Z_5883-2,442,Engativa reversible,URBANO,3,00618E,FFFFFF,3
Z_6178,465A,Clinica barraquer,URBANO,3,00618E,FFFFFF,3
Z_6178-2,465A,San jose,URBANO,3,00618E,FFFFFF,3
Z_5024,466,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5024-2,466,Chico norte,URBANO,3,00618E,FFFFFF,3
Z_5895,488,Lomas,URBANO,3,00618E,FFFFFF,3
Z_5895-2,488,Rincon de venecia,URBANO,3,00618E,FFFFFF,3
Z_6559,492,Palermo,URBANO,3,00618E,FFFFFF,3
Z_6559-2,492,Engativa,URBANO,3,00618E,FFFFFF,3
T_2053,5,Calle 22,TRONCAL,1,000000,FFFFFF,3
T_2052,5,Portal americas,TRONCAL,1,000000,FFFFFF,3
Z_6582,5-1,Suba rincon,URBANO,3,00618E,FFFFFF,3
Z_6582-2,5-1,Granja kr 77,URBANO,3,00618E,FFFFFF,3
Z_5448,5-2,Aures,URBANO,3,00618E,FFFFFF,3
Z_5448-2,5-2,Av. cali,URBANO,3,00618E,FFFFFF,3
Z_6815,5-3,Granja kr77 - serena cerezos,URBANO,3,00618E,FFFFFF,3
Z_6762,5-4,Granja carrera 77 - florida,URBANO,3,00618E,FFFFFF,3
Z_4629,539,Usme,URBANO,3,00618E,FFFFFF,3
Z_4628,539,Engativa,URBANO,3,00618E,FFFFFF,3
Z_4475,544A,Germania,URBANO,3,00618E,FFFFFF,3
Z_4475-2,544A,Bosa san diego,URBANO,3,00618E,FFFFFF,3
Z_6813,552,Estancia,URBANO,3,00618E,FFFFFF,3
Z_6813-2,552,Estancia - centro historico,URBANO,3,00618E,FFFFFF,3
Z_5885,56A,Isla del sol,URBANO,3,00618E,FFFFFF,3
Z_5885-2,56A,Porciuncula,URBANO,3,00618E,FFFFFF,3
Z_5357,576,Bosa santafe,URBANO,3,00618E,FFFFFF,3
Z_5356,576,Engativa,URBANO,3,00618E,FFFFFF,3
Z_6873,577,Diana turbay,URBANO,3,00618E,FFFFFF,3
Z_5578,577,Engativa,URBANO,3,00618E,FFFFFF,3
Z_6982,579,El recreo - marly,URBANO,3,00618E,FFFFFF,3
Z_6590,580,San jose,URBANO,3,00618E,FFFFFF,3
Z_6590-2,580,Bicentenario,URBANO,3,00618E,FFFFFF,3
Z_4878,593,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_4878-2,593,Chico,URBANO,3,00618E,FFFFFF,3
Z_6995,599,Bosa san diego,URBANO,3,00618E,FFFFFF,3
Z_6995-2,599,Suba gaitana,URBANO,3,00618E,FFFFFF,3
Z_4974,59B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_4974-2,59B,Chapinero,URBANO,3,00618E,FFFFFF,3
T_2071,6,Portal 80,TRONCAL,1,000000,FFFFFF,3
T_2070,6,Universidades,TRONCAL,1,000000,FFFFFF,3
T_1783,6-1,Candelaria,ALIMENTADOR,4,196939,FFFFFF,3
T_1785,6-12,Villa gloria,ALIMENTADOR,4,196939,FFFFFF,3
Z_5635,6-18,Mochuelo,URBANO,3,00618E,FFFFFF,3
Z_5635-2,6-18,San carlos,URBANO,3,00618E,FFFFFF,3
T_1784,6-1C,Casalinda,ALIMENTADOR,4,196939,FFFFFF,3
T_1940,6-2,San francisco,ALIMENTADOR,4,196939,FFFFFF,3
Z_5086,6-3,Sierra morena,URBANO,3,00618E,FFFFFF,3
Z_5086-2,6-3,Portal tunal,URBANO,3,00618E,FFFFFF,3
Z_5126,6-3,Sierra morena refuerzo,URBANO,3,00618E,FFFFFF,3
Z_5126-2,6-3,Portal tunal refuerzo,URBANO,3,00618E,FFFFFF,3
T_1899,6-4,Paraiso,ALIMENTADOR,4,196939,FFFFFF,3
T_2167,6-5,Tesoro,ALIMENTADOR,4,196939,FFFFFF,3
T_2019,6-5,Tesoro-portal tunal ciclovia,ALIMENTADOR,4,196939,FFFFFF,3
T_2168,6-5,Portal tunal,ALIMENTADOR,4,196939,FFFFFF,3
T_1943,6-5,Tesoro circular,ALIMENTADOR,4,196939,FFFFFF,3
T_1779,6-5C,Tesoro arabia,ALIMENTADOR,4,196939,FFFFFF,3
T_1787,6-6,Juan jose rondon,ALIMENTADOR,4,196939,FFFFFF,3
T_1781,6-7,San joaquin circular,ALIMENTADOR,4,196939,FFFFFF,3
T_1780,6-7,San joaquin,ALIMENTADOR,4,196939,FFFFFF,3
T_1776,6-8,Vista hermosa refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_1775,6-8,Vista hermosa,ALIMENTADOR,4,196939,FFFFFF,3
T_1786,6-9,Arborizadora alta,ALIMENTADOR,4,196939,FFFFFF,3
Z_6361,60,Bachue,URBANO,3,00618E,FFFFFF,3
Z_6361-2,60,Zarazota,URBANO,3,00618E,FFFFFF,3
Z_5949,603B,Patio bonito,URBANO,3,00618E,FFFFFF,3
Z_5949-2,603B,Germania,URBANO,3,00618E,FFFFFF,3
Z_4544,607A,San bernardino,URBANO,3,00618E,FFFFFF,3
Z_4544-2,607A,Pontevedra,URBANO,3,00618E,FFFFFF,3
Z_5785,614,Bolonia usme,URBANO,3,00618E,FFFFFF,3
Z_5786,614,Zona industrial montevideo,URBANO,3,00618E,FFFFFF,3
Z_6169,621,Bachue,URBANO,3,00618E,FFFFFF,3
Z_6169-2,621,Santo domingo,URBANO,3,00618E,FFFFFF,3
Z_5695,624,Verbenal sur,URBANO,3,00618E,FFFFFF,3
Z_5695-2,624,20 de julio,URBANO,3,00618E,FFFFFF,3
Z_6694,629N,H perdomo,URBANO,3,00618E,FFFFFF,3
Z_5813,634,San jose,URBANO,3,00618E,FFFFFF,3
Z_5813-2,634,San jose - calle 153,URBANO,3,00618E,FFFFFF,3
Z_6739,661,San martin de loba,URBANO,3,00618E,FFFFFF,3
Z_6295,661,Estacion norte reversible,URBANO,3,00618E,FFFFFF,3
Z_6294,661,Estacion norte,URBANO,3,00618E,FFFFFF,3
Z_6837,669,Camelia - gran granada,URBANO,3,00618E,FFFFFF,3
Z_5973,674,Florida,URBANO,3,00618E,FFFFFF,3
Z_5974,674,El uval,URBANO,3,00618E,FFFFFF,3
Z_6728,688,La magdalena - germania,URBANO,3,00618E,FFFFFF,3
T_2083,7,Portal suba,TRONCAL,1,000000,FFFFFF,3
Z_6208,7,Palmitas,URBANO,3,00618E,FFFFFF,3
Z_6208-2,7,Consuelo,URBANO,3,00618E,FFFFFF,3
T_2148,7,Santa isabel,TRONCAL,1,000000,FFFFFF,3
Z_6210,7,Palmitas nocturna,URBANO,3,00618E,FFFFFF,3
Z_6210-2,7,Consuelo nocturna,URBANO,3,00618E,FFFFFF,3
Z_5327,7-1,Uribe uribe,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6755,7-2,Tunal,URBANO,3,00618E,FFFFFF,3
Z_6756,7-3,Ingles,URBANO,3,00618E,FFFFFF,3
Z_5836,731,San jose,URBANO,3,00618E,FFFFFF,3
Z_5836-2,731,Br. sucre,URBANO,3,00618E,FFFFFF,3
Z_6165,733,San carlos,URBANO,3,00618E,FFFFFF,3
Z_6165-2,733,Tierra buena,URBANO,3,00618E,FFFFFF,3
Z_6761,740,Engativa - reserva entre nubes,URBANO,3,00618E,FFFFFF,3
Z_4997,742A,Paraiso,URBANO,3,00618E,FFFFFF,3
Z_4997-2,742A,Bulevar niza,URBANO,3,00618E,FFFFFF,3
Z_7002,786,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_7002-2,786,Metrovivienda - molinos ii,URBANO,3,00618E,FFFFFF,3
Z_4538,787A,Teusaquillo,URBANO,3,00618E,FFFFFF,3
Z_4538-2,787A,Metrovivienda potreritos,URBANO,3,00618E,FFFFFF,3
Z_5831,796A,Mochuelo bajo,URBANO,3,00618E,FFFFFF,3
Z_5831-2,796A,Centro internacional,URBANO,3,00618E,FFFFFF,3
T_2149,8,Estacion guatoque veraguas,TRONCAL,1,000000,FFFFFF,3
T_2150,8,Estacion terminal,TRONCAL,1,000000,FFFFFF,3
T_1388,8-1,Kennedy central,ALIMENTADOR,4,196939,FFFFFF,3
Z_6066,8-10,Mundo aventura,URBANO,3,00618E,FFFFFF,3
T_1389,8-2,Kennedy hospital,ALIMENTADOR,4,196939,FFFFFF,3
T_1835,8-3,Castilla,ALIMENTADOR,4,196939,FFFFFF,3
T_1204,8-4,Corabastos,ALIMENTADOR,4,196939,FFFFFF,3
T_162,8-5,Biblioteca tintal,ALIMENTADOR,4,196939,FFFFFF,3
T_1206,8-6,Timiza circular,ALIMENTADOR,4,196939,FFFFFF,3
T_1205,8-6,Timiza,ALIMENTADOR,4,196939,FFFFFF,3
Z_5361,801A,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5361-2,801A,Chico,URBANO,3,00618E,FFFFFF,3
Z_6676,802,Sabana del dorado,URBANO,3,00618E,FFFFFF,3
Z_6675,802,Usme centro,URBANO,3,00618E,FFFFFF,3
Z_5385,806,Providencia alta,URBANO,3,00618E,FFFFFF,3
Z_5384,806,Sabana del dorado,URBANO,3,00618E,FFFFFF,3
T_1190,9-1,Casablanca,ALIMENTADOR,4,196939,FFFFFF,3
T_1529,9-10,Roma,ALIMENTADOR,4,196939,FFFFFF,3
T_1527,9-11,Franja seca,ALIMENTADOR,4,196939,FFFFFF,3
T_1526,9-2,Metrovivienda,ALIMENTADOR,4,196939,FFFFFF,3
T_1525,9-2,Metrovivienda hora pico,ALIMENTADOR,4,196939,FFFFFF,3
T_2024,9-3,Bosa la libertad,ALIMENTADOR,4,196939,FFFFFF,3
T_1528,9-4,Patio bonito,ALIMENTADOR,4,196939,FFFFFF,3
T_1910,9-5,Avenida tintal,ALIMENTADOR,4,196939,FFFFFF,3
T_1195,9-6,Avenida villavicencio,ALIMENTADOR,4,196939,FFFFFF,3
T_1196,9-7,Bosa la independencia,ALIMENTADOR,4,196939,FFFFFF,3
T_1197,9-8,Porvenir,ALIMENTADOR,4,196939,FFFFFF,3
T_2095,9-9,Franja seca,ALIMENTADOR,4,196939,FFFFFF,3
T_2094,9-9,Portal americas,ALIMENTADOR,4,196939,FFFFFF,3
T_1531,9-9,Bosa santafe,ALIMENTADOR,4,196939,FFFFFF,3
